Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,com.thealgorithms.strings,AnagramsTest,isAlphabetical,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
.,com.thealgorithms.strings,AnagramsTest,isAlphabetical,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.strings.Anagrams.approach5; com.thealgorithms.strings.Anagrams.approach1; com.thealgorithms.strings.Anagrams.approach3; com.thealgorithms.strings.Anagrams.approach4; com.thealgorithms.strings.Anagrams.approach2
.,com.thealgorithms.strings,CharacterSameTest,isAllCharactersSame,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,com.thealgorithms.strings,CheckAnagramsTest,testStringAreValidAnagramsCaseSensitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.strings,CheckAnagramsTest,testStringAreNotAnagramsCaseSensitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.strings,CheckAnagramsTest,testOptimisedAlgorithmStringsAreValidAnagrams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.strings,CheckAnagramsTest,testOptimisedAlgorithmShouldThrowExceptionWhenStringsContainUppercaseLetters,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.strings,CheckVowelsTest,isVowel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.strings,HammingDistanceTest,testHammingDistance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.strings,HammingDistanceTest,testNotEqualStringLengths,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.strings,IsomorphicTest,main,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.strings,LetterCombinationsOfPhoneNumberTest,letterCombinationsOfPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.strings,LetterCombinationsOfPhoneNumberTest,letterCombinationsOfPhoneNumber,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.strings.LetterCombinationsOfPhoneNumber.generateNumberToCharMap; com.thealgorithms.strings.LetterCombinationsOfPhoneNumber.printWords
.,com.thealgorithms.strings,longestNonRepeativeSubstringTest,palindrome,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.strings,LowerTest,toLowerCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.strings,PalindromeTest,palindrome,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.strings,PalindromeTest,palindrome,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.strings.Palindrome.isPalindromeRecursion; com.thealgorithms.strings.Palindrome.isPalindrome; com.thealgorithms.strings.Palindrome.isPalindromeTwoPointer
.,com.thealgorithms.strings,PangramTest,testPangram,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,com.thealgorithms.strings,PangramTest,testPangram,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.strings.Pangram.isPangram; com.thealgorithms.strings.Pangram.isPangram2
.,com.thealgorithms.strings,ReverseStringTest,ReverseStringTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,com.thealgorithms.strings,ReverseStringTest,ReverseStringTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.strings.ReverseString.reverse; com.thealgorithms.strings.ReverseString.reverse2
.,com.thealgorithms.strings,RotationTest,testRotation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.strings,UpperTest,toUpperCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.strings,WordLadderTest,testWordLadder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.strings.zigZagPattern,zigZagPatternTest,palindrome,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.hashmap,HashMapCuckooHashingTest,insertKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.hashmap,HashMapCuckooHashingTest,insertKey,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.hashmap.hashing.HashMapCuckooHashing.getNumberOfKeysInTable; com.thealgorithms.datastructures.hashmap.hashing.HashMapCuckooHashing.insertKey2HashTable
.,com.thealgorithms.datastructures.hashmap,HashMapCuckooHashingTest,removeNone,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,com.thealgorithms.datastructures.hashmap,HashMapCuckooHashingTest,avoidInfiniteLoops,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.hashmap,HashMapCuckooHashingTest,avoidInfiniteLoops,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.hashmap.hashing.HashMapCuckooHashing.checkTableContainsKey; com.thealgorithms.datastructures.hashmap.hashing.HashMapCuckooHashing.insertKey2HashTable
